id,name,base_experience,height,weight,types,abilities,moves,stats,image_url,image,generation
23,ekans,58,20,69,poison,"intimidate, shed-skin, unnerve","bind, slam, headbutt, body-slam, wrap","hp=35, attack=60, defense=44, special-attack=40, special-defense=54, speed=55",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/23.png,,1
24,arbok,157,35,650,poison,"intimidate, shed-skin, unnerve","bind, slam, headbutt, body-slam, wrap","hp=60, attack=95, defense=69, special-attack=65, special-defense=79, speed=80",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/24.png,,1
25,pikachu,112,4,60,electric,"static, lightning-rod","mega-punch, pay-day, thunder-punch, slam, double-kick","hp=35, attack=55, defense=40, special-attack=50, special-defense=50, speed=90",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/25.png,,1
26,raichu,218,8,300,electric,"static, lightning-rod","mega-punch, pay-day, thunder-punch, slam, mega-kick","hp=60, attack=90, defense=55, special-attack=90, special-defense=80, speed=110",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/26.png,,1
27,sandshrew,60,6,120,ground,"sand-veil, sand-rush","scratch, swords-dance, cut, sand-attack, headbutt","hp=50, attack=75, defense=85, special-attack=20, special-defense=30, speed=40",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/27.png,,1
28,sandslash,158,10,295,ground,"sand-veil, sand-rush","scratch, swords-dance, cut, sand-attack, headbutt","hp=75, attack=100, defense=110, special-attack=45, special-defense=55, speed=65",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/28.png,,1
29,nidoran-f,55,4,70,poison,"poison-point, rivalry, hustle","scratch, cut, double-kick, headbutt, tackle","hp=55, attack=47, defense=52, special-attack=40, special-defense=40, speed=41",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/29.png,,1
30,nidorina,128,8,200,poison,"poison-point, rivalry, hustle","scratch, cut, double-kick, headbutt, horn-drill","hp=70, attack=62, defense=67, special-attack=55, special-defense=55, speed=56",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/30.png,,1
31,nidoqueen,227,13,600,"poison, ground","poison-point, rivalry, sheer-force","mega-punch, pay-day, fire-punch, ice-punch, thunder-punch","hp=90, attack=92, defense=87, special-attack=75, special-defense=85, speed=76",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/31.png,,1
32,nidoran-m,55,5,90,poison,"poison-point, rivalry, hustle","cut, double-kick, headbutt, horn-attack, fury-attack","hp=46, attack=57, defense=40, special-attack=40, special-defense=40, speed=50",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/32.png,,1
33,nidorino,128,9,195,poison,"poison-point, rivalry, hustle","cut, double-kick, headbutt, horn-attack, fury-attack","hp=61, attack=72, defense=57, special-attack=55, special-defense=55, speed=65",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/33.png,,1
34,nidoking,227,14,620,"poison, ground","poison-point, rivalry, sheer-force","mega-punch, pay-day, fire-punch, ice-punch, thunder-punch","hp=81, attack=102, defense=77, special-attack=85, special-defense=75, speed=85",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/34.png,,1
35,clefairy,113,6,75,fairy,"cute-charm, magic-guard, friend-guard","pound, double-slap, mega-punch, fire-punch, ice-punch","hp=70, attack=45, defense=48, special-attack=60, special-defense=65, speed=35",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/35.png,,1
36,clefable,217,13,400,fairy,"cute-charm, magic-guard, unaware","pound, double-slap, mega-punch, fire-punch, ice-punch","hp=95, attack=70, defense=73, special-attack=95, special-defense=90, speed=60",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/36.png,,1
37,vulpix,60,6,99,fire,"flash-fire, drought","headbutt, tackle, body-slam, take-down, double-edge","hp=38, attack=41, defense=40, special-attack=50, special-defense=65, speed=65",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/37.png,,1
38,ninetales,177,11,199,fire,"flash-fire, drought","headbutt, tackle, body-slam, take-down, double-edge","hp=73, attack=76, defense=75, special-attack=81, special-defense=100, speed=100",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/38.png,,1
39,jigglypuff,95,5,55,"normal, fairy","cute-charm, competitive, friend-guard","pound, double-slap, mega-punch, fire-punch, ice-punch","hp=115, attack=45, defense=20, special-attack=45, special-defense=25, speed=20",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/39.png,,1
40,wigglytuff,196,10,120,"normal, fairy","cute-charm, competitive, frisk","pound, double-slap, mega-punch, fire-punch, ice-punch","hp=140, attack=70, defense=45, special-attack=85, special-defense=50, speed=45",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/40.png,,1
41,zubat,49,8,75,"poison, flying","inner-focus, infiltrator","razor-wind, gust, wing-attack, whirlwind, fly","hp=40, attack=45, defense=35, special-attack=30, special-defense=40, speed=55",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/41.png,,1
42,golbat,159,16,550,"poison, flying","inner-focus, infiltrator","razor-wind, gust, wing-attack, whirlwind, fly","hp=75, attack=80, defense=70, special-attack=65, special-defense=75, speed=90",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/42.png,,1
43,oddish,64,5,54,"grass, poison","chlorophyll, run-away","swords-dance, cut, headbutt, take-down, double-edge","hp=45, attack=50, defense=55, special-attack=75, special-defense=65, speed=30",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/43.png,,1
44,gloom,138,8,86,"grass, poison","chlorophyll, stench","swords-dance, cut, headbutt, take-down, double-edge","hp=60, attack=65, defense=70, special-attack=85, special-defense=75, speed=40",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/44.png,,1
45,vileplume,221,12,186,"grass, poison","chlorophyll, effect-spore","swords-dance, cut, headbutt, body-slam, take-down","hp=75, attack=80, defense=85, special-attack=110, special-defense=90, speed=50",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/45.png,,1
46,paras,57,3,54,"bug, grass","effect-spore, dry-skin, damp","scratch, swords-dance, cut, headbutt, body-slam","hp=35, attack=70, defense=55, special-attack=45, special-defense=55, speed=25",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/46.png,,1
47,parasect,142,10,295,"bug, grass","effect-spore, dry-skin, damp","scratch, swords-dance, cut, headbutt, body-slam","hp=60, attack=95, defense=80, special-attack=60, special-defense=80, speed=30",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/47.png,,1
48,venonat,61,10,300,"bug, poison","compound-eyes, tinted-lens, run-away","headbutt, tackle, take-down, double-edge, supersonic","hp=60, attack=55, defense=50, special-attack=40, special-defense=55, speed=45",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/48.png,,1
49,venomoth,158,15,125,"bug, poison","shield-dust, tinted-lens, wonder-skin","razor-wind, gust, whirlwind, headbutt, tackle","hp=70, attack=65, defense=60, special-attack=90, special-defense=75, speed=90",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/49.png,,1
50,diglett,53,2,8,ground,"sand-veil, arena-trap, sand-force","scratch, swords-dance, cut, sand-attack, headbutt","hp=10, attack=55, defense=25, special-attack=35, special-defense=45, speed=95",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/50.png,,1
51,dugtrio,149,7,333,ground,"sand-veil, arena-trap, sand-force","scratch, swords-dance, cut, sand-attack, headbutt","hp=35, attack=100, defense=50, special-attack=50, special-defense=70, speed=120",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/51.png,,1
52,meowth,58,4,42,normal,"pickup, technician, unnerve","pay-day, scratch, cut, headbutt, body-slam","hp=40, attack=45, defense=35, special-attack=40, special-defense=40, speed=90",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/52.png,,1
53,persian,154,10,320,normal,"limber, technician, unnerve","pay-day, scratch, cut, headbutt, body-slam","hp=65, attack=70, defense=60, special-attack=65, special-defense=65, speed=115",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/53.png,,1
54,psyduck,64,8,196,water,"damp, cloud-nine, swift-swim","mega-punch, pay-day, ice-punch, scratch, mega-kick","hp=50, attack=52, defense=48, special-attack=65, special-defense=50, speed=55",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/54.png,,1
55,golduck,175,17,766,water,"damp, cloud-nine, swift-swim","mega-punch, pay-day, ice-punch, scratch, mega-kick","hp=80, attack=82, defense=78, special-attack=95, special-defense=80, speed=85",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/55.png,,1
56,mankey,61,5,280,fighting,"vital-spirit, anger-point, defiant","karate-chop, mega-punch, pay-day, fire-punch, ice-punch","hp=40, attack=80, defense=35, special-attack=35, special-defense=45, speed=70",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/56.png,,1
57,primeape,159,10,320,fighting,"vital-spirit, anger-point, defiant","karate-chop, mega-punch, pay-day, fire-punch, ice-punch","hp=65, attack=105, defense=60, special-attack=60, special-defense=70, speed=95",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/57.png,,1
58,growlithe,70,7,190,fire,"intimidate, flash-fire, justified","double-kick, headbutt, body-slam, take-down, thrash","hp=55, attack=70, defense=45, special-attack=70, special-defense=50, speed=60",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/58.png,,1
59,arcanine,194,19,1550,fire,"intimidate, flash-fire, justified","headbutt, body-slam, take-down, double-edge, leer","hp=90, attack=110, defense=80, special-attack=100, special-defense=80, speed=95",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/59.png,,1
60,poliwag,60,6,124,water,"water-absorb, damp, swift-swim","pound, double-slap, headbutt, body-slam, take-down","hp=40, attack=50, defense=40, special-attack=40, special-defense=40, speed=90",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/60.png,,1
61,poliwhirl,135,10,200,water,"water-absorb, damp, swift-swim","pound, double-slap, mega-punch, ice-punch, mega-kick","hp=65, attack=65, defense=65, special-attack=50, special-defense=50, speed=90",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/61.png,,1
62,poliwrath,230,13,540,"water, fighting","water-absorb, damp, swift-swim","pound, double-slap, mega-punch, ice-punch, mega-kick","hp=90, attack=95, defense=95, special-attack=70, special-defense=90, speed=70",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/62.png,,1
63,abra,62,9,195,psychic,"synchronize, inner-focus, magic-guard","mega-punch, fire-punch, ice-punch, thunder-punch, mega-kick","hp=25, attack=20, defense=15, special-attack=105, special-defense=55, speed=90",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/63.png,,1
64,kadabra,140,13,565,psychic,"synchronize, inner-focus, magic-guard","mega-punch, fire-punch, ice-punch, thunder-punch, mega-kick","hp=40, attack=35, defense=30, special-attack=120, special-defense=70, speed=105",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/64.png,,1
65,alakazam,225,15,480,psychic,"synchronize, inner-focus, magic-guard","mega-punch, fire-punch, ice-punch, thunder-punch, mega-kick","hp=55, attack=50, defense=45, special-attack=135, special-defense=95, speed=120",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/65.png,,1
66,machop,61,8,195,fighting,"guts, no-guard, steadfast","karate-chop, mega-punch, fire-punch, ice-punch, thunder-punch","hp=70, attack=80, defense=50, special-attack=35, special-defense=35, speed=35",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/66.png,,1
67,machoke,142,15,705,fighting,"guts, no-guard, steadfast","karate-chop, mega-punch, fire-punch, ice-punch, thunder-punch","hp=80, attack=100, defense=70, special-attack=50, special-defense=60, speed=45",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/67.png,,1
68,machamp,227,16,1300,fighting,"guts, no-guard, steadfast","karate-chop, mega-punch, fire-punch, ice-punch, thunder-punch","hp=90, attack=130, defense=80, special-attack=65, special-defense=85, speed=55",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/68.png,,1
69,bellsprout,60,7,40,"grass, poison","chlorophyll, gluttony","swords-dance, cut, bind, slam, vine-whip","hp=50, attack=75, defense=35, special-attack=70, special-defense=30, speed=40",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/69.png,,1
70,weepinbell,137,10,64,"grass, poison","chlorophyll, gluttony","swords-dance, cut, bind, slam, vine-whip","hp=65, attack=90, defense=50, special-attack=85, special-defense=45, speed=55",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/70.png,,1
71,victreebel,221,17,155,"grass, poison","chlorophyll, gluttony","swords-dance, cut, bind, slam, vine-whip","hp=80, attack=105, defense=65, special-attack=100, special-defense=70, speed=70",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/71.png,,1
72,tentacool,67,9,455,"water, poison","clear-body, liquid-ooze, rain-dish","swords-dance, cut, bind, headbutt, wrap","hp=40, attack=40, defense=35, special-attack=50, special-defense=100, speed=70",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/72.png,,1
73,tentacruel,180,16,550,"water, poison","clear-body, liquid-ooze, rain-dish","swords-dance, cut, bind, headbutt, wrap","hp=80, attack=70, defense=65, special-attack=80, special-defense=120, speed=100",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/73.png,,1
74,geodude,60,4,200,"rock, ground","rock-head, sturdy, sand-veil","mega-punch, fire-punch, thunder-punch, sand-attack, headbutt","hp=40, attack=80, defense=100, special-attack=30, special-defense=30, speed=20",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/74.png,,1
75,graveler,137,10,1050,"rock, ground","rock-head, sturdy, sand-veil","mega-punch, fire-punch, thunder-punch, sand-attack, headbutt","hp=55, attack=95, defense=115, special-attack=45, special-defense=45, speed=35",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/75.png,,1
76,golem,223,14,3000,"rock, ground","rock-head, sturdy, sand-veil","mega-punch, fire-punch, thunder-punch, mega-kick, sand-attack","hp=80, attack=120, defense=130, special-attack=55, special-defense=65, speed=45",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/76.png,,1
77,ponyta,82,10,300,fire,"run-away, flash-fire, flame-body","stomp, double-kick, headbutt, horn-drill, tackle","hp=50, attack=85, defense=55, special-attack=65, special-defense=65, speed=90",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/77.png,,1
78,rapidash,175,17,950,fire,"run-away, flash-fire, flame-body","pay-day, swords-dance, stomp, double-kick, headbutt","hp=65, attack=100, defense=70, special-attack=80, special-defense=80, speed=105",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/78.png,,1
79,slowpoke,63,12,360,"water, psychic","oblivious, own-tempo, regenerator","pay-day, stomp, headbutt, tackle, body-slam","hp=90, attack=65, defense=65, special-attack=40, special-defense=40, speed=15",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/79.png,,1
80,slowbro,172,16,785,"water, psychic","oblivious, own-tempo, regenerator","mega-punch, pay-day, ice-punch, stomp, mega-kick","hp=95, attack=75, defense=110, special-attack=100, special-defense=80, speed=30",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/80.png,,1
81,magnemite,65,3,60,"electric, steel","magnet-pull, sturdy, analytic","headbutt, tackle, take-down, double-edge, supersonic","hp=25, attack=35, defense=70, special-attack=95, special-defense=55, speed=45",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/81.png,,1
82,magneton,163,10,600,"electric, steel","magnet-pull, sturdy, analytic","headbutt, tackle, take-down, double-edge, supersonic","hp=50, attack=60, defense=95, special-attack=120, special-defense=70, speed=70",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/82.png,,1
83,farfetchd,132,8,150,"normal, flying","keen-eye, inner-focus, defiant","razor-wind, swords-dance, cut, gust, whirlwind","hp=52, attack=90, defense=55, special-attack=58, special-defense=62, speed=60",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/83.png,,1
84,doduo,62,14,392,"normal, flying","run-away, early-bird, tangled-feet","swords-dance, wing-attack, whirlwind, fly, jump-kick","hp=35, attack=85, defense=45, special-attack=35, special-defense=35, speed=75",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/84.png,,1
85,dodrio,165,18,852,"normal, flying","run-away, early-bird, tangled-feet","swords-dance, wing-attack, whirlwind, fly, jump-kick","hp=60, attack=110, defense=70, special-attack=60, special-defense=60, speed=110",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/85.png,,1
86,seel,65,11,900,water,"thick-fat, hydration, ice-body","pay-day, slam, headbutt, horn-drill, body-slam","hp=65, attack=45, defense=55, special-attack=45, special-defense=70, speed=45",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/86.png,,1
87,dewgong,166,17,1200,"water, ice","thick-fat, hydration, ice-body","pay-day, headbutt, horn-drill, body-slam, take-down","hp=90, attack=70, defense=80, special-attack=70, special-defense=95, speed=70",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/87.png,,1
88,grimer,65,9,300,poison,"stench, sticky-hold, poison-touch","pound, fire-punch, ice-punch, thunder-punch, headbutt","hp=80, attack=80, defense=50, special-attack=40, special-defense=50, speed=25",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/88.png,,1
89,muk,175,12,300,poison,"stench, sticky-hold, poison-touch","pound, fire-punch, ice-punch, thunder-punch, headbutt","hp=105, attack=105, defense=75, special-attack=65, special-defense=100, speed=50",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/89.png,,1
90,shellder,61,3,40,water,"shell-armor, skill-link, overcoat","headbutt, tackle, take-down, double-edge, twineedle","hp=30, attack=65, defense=100, special-attack=45, special-defense=25, speed=40",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/90.png,,1
91,cloyster,184,15,1325,"water, ice","shell-armor, skill-link, overcoat","headbutt, tackle, body-slam, take-down, double-edge","hp=50, attack=95, defense=180, special-attack=85, special-defense=45, speed=70",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/91.png,,1
92,gastly,62,13,1,"ghost, poison",levitate,"fire-punch, ice-punch, thunder-punch, headbutt, disable","hp=30, attack=35, defense=30, special-attack=100, special-defense=35, speed=80",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/92.png,,1
93,haunter,142,16,1,"ghost, poison",levitate,"fire-punch, ice-punch, thunder-punch, headbutt, mega-drain","hp=45, attack=50, defense=45, special-attack=115, special-defense=55, speed=95",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/93.png,,1
94,gengar,225,15,405,"ghost, poison",cursed-body,"mega-punch, fire-punch, ice-punch, thunder-punch, mega-kick","hp=60, attack=65, defense=60, special-attack=130, special-defense=75, speed=110",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/94.png,,1
95,onix,77,88,2100,"rock, ground","rock-head, sturdy, weak-armor","bind, slam, headbutt, tackle, body-slam","hp=35, attack=45, defense=160, special-attack=30, special-defense=45, speed=70",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/95.png,,1
96,drowzee,66,10,324,psychic,"insomnia, forewarn, inner-focus","pound, mega-punch, fire-punch, ice-punch, thunder-punch","hp=60, attack=48, defense=45, special-attack=43, special-defense=90, speed=42",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/96.png,,1
97,hypno,169,16,756,psychic,"insomnia, forewarn, inner-focus","pound, mega-punch, fire-punch, ice-punch, thunder-punch","hp=85, attack=73, defense=70, special-attack=73, special-defense=115, speed=67",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/97.png,,1
98,krabby,65,4,65,water,"hyper-cutter, shell-armor, sheer-force","vice-grip, guillotine, swords-dance, cut, slam","hp=30, attack=105, defense=90, special-attack=25, special-defense=25, speed=50",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/98.png,,1
99,kingler,166,13,600,water,"hyper-cutter, shell-armor, sheer-force","vice-grip, guillotine, swords-dance, cut, slam","hp=55, attack=130, defense=115, special-attack=50, special-defense=50, speed=75",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/99.png,,1
100,voltorb,66,5,104,electric,"soundproof, static, aftermath","headbutt, tackle, take-down, double-edge, sonic-boom","hp=40, attack=30, defense=50, special-attack=55, special-defense=55, speed=100",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/100.png,,1
101,electrode,172,12,666,electric,"soundproof, static, aftermath","headbutt, tackle, take-down, double-edge, sonic-boom","hp=60, attack=50, defense=70, special-attack=80, special-defense=80, speed=150",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/101.png,,1
102,exeggcute,65,4,25,"grass, psychic","chlorophyll, harvest","swords-dance, headbutt, take-down, double-edge, psybeam","hp=60, attack=40, defense=80, special-attack=60, special-defense=45, speed=40",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/102.png,,1
103,exeggutor,186,20,1200,"grass, psychic","chlorophyll, harvest","swords-dance, stomp, headbutt, body-slam, take-down","hp=95, attack=95, defense=85, special-attack=125, special-defense=75, speed=55",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/103.png,,1
