id,name,base_experience,height,weight,types,abilities,moves,stats,Generation,image_url,image_exists
13,weedle,39,3,32,"bug, poison","shield-dust, run-away","poison-sting, string-shot, bug-bite, electroweb","hp=40, attack=35, defense=30, special-attack=20, special-defense=20, speed=50",1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/13.png,True
14,kakuna,72,6,100,"bug, poison",shed-skin,"string-shot, harden, iron-defense, bug-bite, electroweb","hp=45, attack=25, defense=50, special-attack=25, special-defense=25, speed=35",1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/14.png,True
15,beedrill,178,10,295,"bug, poison","swarm, sniper","swords-dance, cut, headbutt, fury-attack, take-down","hp=65, attack=90, defense=40, special-attack=45, special-defense=80, speed=75",1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/15.png,True
16,pidgey,50,3,18,"normal, flying","keen-eye, tangled-feet, big-pecks","razor-wind, gust, wing-attack, whirlwind, fly","hp=40, attack=45, defense=40, special-attack=35, special-defense=35, speed=56",1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/16.png,True
17,pidgeotto,122,11,300,"normal, flying","keen-eye, tangled-feet, big-pecks","razor-wind, gust, wing-attack, whirlwind, fly","hp=63, attack=60, defense=55, special-attack=50, special-defense=50, speed=71",1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/17.png,True
18,pidgeot,216,15,395,"normal, flying","keen-eye, tangled-feet, big-pecks","razor-wind, gust, wing-attack, whirlwind, fly","hp=83, attack=80, defense=75, special-attack=70, special-defense=70, speed=101",1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/18.png,True
19,rattata,51,3,35,normal,"run-away, guts, hustle","cut, headbutt, tackle, body-slam, take-down","hp=30, attack=56, defense=35, special-attack=25, special-defense=35, speed=72",1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/19.png,True
20,raticate,145,7,185,normal,"run-away, guts, hustle","swords-dance, cut, headbutt, tackle, body-slam","hp=55, attack=81, defense=60, special-attack=50, special-defense=70, speed=97",1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/20.png,True
21,spearow,52,3,20,"normal, flying","keen-eye, sniper","razor-wind, wing-attack, whirlwind, fly, headbutt","hp=40, attack=60, defense=30, special-attack=31, special-defense=31, speed=70",1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/21.png,True
22,fearow,155,12,380,"normal, flying","keen-eye, sniper","razor-wind, wing-attack, whirlwind, fly, headbutt","hp=65, attack=90, defense=65, special-attack=61, special-defense=61, speed=100",1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/22.png,True
23,ekans,58,20,69,poison,"intimidate, shed-skin, unnerve","bind, slam, headbutt, body-slam, wrap","hp=35, attack=60, defense=44, special-attack=40, special-defense=54, speed=55",1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/23.png,True
24,arbok,157,35,650,poison,"intimidate, shed-skin, unnerve","bind, slam, headbutt, body-slam, wrap","hp=60, attack=95, defense=69, special-attack=65, special-defense=79, speed=80",1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/24.png,True
25,pikachu,112,4,60,electric,"static, lightning-rod","mega-punch, pay-day, thunder-punch, slam, double-kick","hp=35, attack=55, defense=40, special-attack=50, special-defense=50, speed=90",1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/25.png,True
26,raichu,218,8,300,electric,"static, lightning-rod","mega-punch, pay-day, thunder-punch, slam, mega-kick","hp=60, attack=90, defense=55, special-attack=90, special-defense=80, speed=110",1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/26.png,True
27,sandshrew,60,6,120,ground,"sand-veil, sand-rush","scratch, swords-dance, cut, sand-attack, headbutt","hp=50, attack=75, defense=85, special-attack=20, special-defense=30, speed=40",1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/27.png,True
28,sandslash,158,10,295,ground,"sand-veil, sand-rush","scratch, swords-dance, cut, sand-attack, headbutt","hp=75, attack=100, defense=110, special-attack=45, special-defense=55, speed=65",1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/28.png,True
29,nidoran-f,55,4,70,poison,"poison-point, rivalry, hustle","scratch, cut, double-kick, headbutt, tackle","hp=55, attack=47, defense=52, special-attack=40, special-defense=40, speed=41",1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/29.png,True
30,nidorina,128,8,200,poison,"poison-point, rivalry, hustle","scratch, cut, double-kick, headbutt, horn-drill","hp=70, attack=62, defense=67, special-attack=55, special-defense=55, speed=56",1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/30.png,True
31,nidoqueen,227,13,600,"poison, ground","poison-point, rivalry, sheer-force","mega-punch, pay-day, fire-punch, ice-punch, thunder-punch","hp=90, attack=92, defense=87, special-attack=75, special-defense=85, speed=76",1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/31.png,True
32,nidoran-m,55,5,90,poison,"poison-point, rivalry, hustle","cut, double-kick, headbutt, horn-attack, fury-attack","hp=46, attack=57, defense=40, special-attack=40, special-defense=40, speed=50",1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/32.png,True
33,nidorino,128,9,195,poison,"poison-point, rivalry, hustle","cut, double-kick, headbutt, horn-attack, fury-attack","hp=61, attack=72, defense=57, special-attack=55, special-defense=55, speed=65",1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/33.png,True
34,nidoking,227,14,620,"poison, ground","poison-point, rivalry, sheer-force","mega-punch, pay-day, fire-punch, ice-punch, thunder-punch","hp=81, attack=102, defense=77, special-attack=85, special-defense=75, speed=85",1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/34.png,True
35,clefairy,113,6,75,fairy,"cute-charm, magic-guard, friend-guard","pound, double-slap, mega-punch, fire-punch, ice-punch","hp=70, attack=45, defense=48, special-attack=60, special-defense=65, speed=35",1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/35.png,True
36,clefable,217,13,400,fairy,"cute-charm, magic-guard, unaware","pound, double-slap, mega-punch, fire-punch, ice-punch","hp=95, attack=70, defense=73, special-attack=95, special-defense=90, speed=60",1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/36.png,True
37,vulpix,60,6,99,fire,"flash-fire, drought","headbutt, tackle, body-slam, take-down, double-edge","hp=38, attack=41, defense=40, special-attack=50, special-defense=65, speed=65",1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/37.png,True
38,ninetales,177,11,199,fire,"flash-fire, drought","headbutt, tackle, body-slam, take-down, double-edge","hp=73, attack=76, defense=75, special-attack=81, special-defense=100, speed=100",1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/38.png,True
39,jigglypuff,95,5,55,"normal, fairy","cute-charm, competitive, friend-guard","pound, double-slap, mega-punch, fire-punch, ice-punch","hp=115, attack=45, defense=20, special-attack=45, special-defense=25, speed=20",1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/39.png,True
40,wigglytuff,196,10,120,"normal, fairy","cute-charm, competitive, frisk","pound, double-slap, mega-punch, fire-punch, ice-punch","hp=140, attack=70, defense=45, special-attack=85, special-defense=50, speed=45",1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/40.png,True
41,zubat,49,8,75,"poison, flying","inner-focus, infiltrator","razor-wind, gust, wing-attack, whirlwind, fly","hp=40, attack=45, defense=35, special-attack=30, special-defense=40, speed=55",1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/41.png,True
42,golbat,159,16,550,"poison, flying","inner-focus, infiltrator","razor-wind, gust, wing-attack, whirlwind, fly","hp=75, attack=80, defense=70, special-attack=65, special-defense=75, speed=90",1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/42.png,True
43,oddish,64,5,54,"grass, poison","chlorophyll, run-away","swords-dance, cut, headbutt, take-down, double-edge","hp=45, attack=50, defense=55, special-attack=75, special-defense=65, speed=30",1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/43.png,True
44,gloom,138,8,86,"grass, poison","chlorophyll, stench","swords-dance, cut, headbutt, take-down, double-edge","hp=60, attack=65, defense=70, special-attack=85, special-defense=75, speed=40",1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/44.png,True
45,vileplume,221,12,186,"grass, poison","chlorophyll, effect-spore","swords-dance, cut, headbutt, body-slam, take-down","hp=75, attack=80, defense=85, special-attack=110, special-defense=90, speed=50",1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/45.png,True
46,paras,57,3,54,"bug, grass","effect-spore, dry-skin, damp","scratch, swords-dance, cut, headbutt, body-slam","hp=35, attack=70, defense=55, special-attack=45, special-defense=55, speed=25",1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/46.png,True
47,parasect,142,10,295,"bug, grass","effect-spore, dry-skin, damp","scratch, swords-dance, cut, headbutt, body-slam","hp=60, attack=95, defense=80, special-attack=60, special-defense=80, speed=30",1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/47.png,True
48,venonat,61,10,300,"bug, poison","compound-eyes, tinted-lens, run-away","headbutt, tackle, take-down, double-edge, supersonic","hp=60, attack=55, defense=50, special-attack=40, special-defense=55, speed=45",1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/48.png,True
49,venomoth,158,15,125,"bug, poison","shield-dust, tinted-lens, wonder-skin","razor-wind, gust, whirlwind, headbutt, tackle","hp=70, attack=65, defense=60, special-attack=90, special-defense=75, speed=90",1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/49.png,True
50,diglett,53,2,8,ground,"sand-veil, arena-trap, sand-force","scratch, swords-dance, cut, sand-attack, headbutt","hp=10, attack=55, defense=25, special-attack=35, special-defense=45, speed=95",1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/50.png,True
51,dugtrio,149,7,333,ground,"sand-veil, arena-trap, sand-force","scratch, swords-dance, cut, sand-attack, headbutt","hp=35, attack=100, defense=50, special-attack=50, special-defense=70, speed=120",1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/51.png,True
52,meowth,58,4,42,normal,"pickup, technician, unnerve","pay-day, scratch, cut, headbutt, body-slam","hp=40, attack=45, defense=35, special-attack=40, special-defense=40, speed=90",1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/52.png,True
53,persian,154,10,320,normal,"limber, technician, unnerve","pay-day, scratch, cut, headbutt, body-slam","hp=65, attack=70, defense=60, special-attack=65, special-defense=65, speed=115",1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/53.png,True
54,psyduck,64,8,196,water,"damp, cloud-nine, swift-swim","mega-punch, pay-day, ice-punch, scratch, mega-kick","hp=50, attack=52, defense=48, special-attack=65, special-defense=50, speed=55",1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/54.png,True
55,golduck,175,17,766,water,"damp, cloud-nine, swift-swim","mega-punch, pay-day, ice-punch, scratch, mega-kick","hp=80, attack=82, defense=78, special-attack=95, special-defense=80, speed=85",1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/55.png,True
56,mankey,61,5,280,fighting,"vital-spirit, anger-point, defiant","karate-chop, mega-punch, pay-day, fire-punch, ice-punch","hp=40, attack=80, defense=35, special-attack=35, special-defense=45, speed=70",1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/56.png,True
57,primeape,159,10,320,fighting,"vital-spirit, anger-point, defiant","karate-chop, mega-punch, pay-day, fire-punch, ice-punch","hp=65, attack=105, defense=60, special-attack=60, special-defense=70, speed=95",1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/57.png,True
58,growlithe,70,7,190,fire,"intimidate, flash-fire, justified","double-kick, headbutt, body-slam, take-down, thrash","hp=55, attack=70, defense=45, special-attack=70, special-defense=50, speed=60",1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/58.png,True
59,arcanine,194,19,1550,fire,"intimidate, flash-fire, justified","headbutt, body-slam, take-down, double-edge, leer","hp=90, attack=110, defense=80, special-attack=100, special-defense=80, speed=95",1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/59.png,True
60,poliwag,60,6,124,water,"water-absorb, damp, swift-swim","pound, double-slap, headbutt, body-slam, take-down","hp=40, attack=50, defense=40, special-attack=40, special-defense=40, speed=90",1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/60.png,True
61,poliwhirl,135,10,200,water,"water-absorb, damp, swift-swim","pound, double-slap, mega-punch, ice-punch, mega-kick","hp=65, attack=65, defense=65, special-attack=50, special-defense=50, speed=90",1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/61.png,True
62,poliwrath,230,13,540,"water, fighting","water-absorb, damp, swift-swim","pound, double-slap, mega-punch, ice-punch, mega-kick","hp=90, attack=95, defense=95, special-attack=70, special-defense=90, speed=70",1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/62.png,True
63,abra,62,9,195,psychic,"synchronize, inner-focus, magic-guard","mega-punch, fire-punch, ice-punch, thunder-punch, mega-kick","hp=25, attack=20, defense=15, special-attack=105, special-defense=55, speed=90",1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/63.png,True
64,kadabra,140,13,565,psychic,"synchronize, inner-focus, magic-guard","mega-punch, fire-punch, ice-punch, thunder-punch, mega-kick","hp=40, attack=35, defense=30, special-attack=120, special-defense=70, speed=105",1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/64.png,True
65,alakazam,225,15,480,psychic,"synchronize, inner-focus, magic-guard","mega-punch, fire-punch, ice-punch, thunder-punch, mega-kick","hp=55, attack=50, defense=45, special-attack=135, special-defense=95, speed=120",1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/65.png,True
66,machop,61,8,195,fighting,"guts, no-guard, steadfast","karate-chop, mega-punch, fire-punch, ice-punch, thunder-punch","hp=70, attack=80, defense=50, special-attack=35, special-defense=35, speed=35",1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/66.png,True
67,machoke,142,15,705,fighting,"guts, no-guard, steadfast","karate-chop, mega-punch, fire-punch, ice-punch, thunder-punch","hp=80, attack=100, defense=70, special-attack=50, special-defense=60, speed=45",1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/67.png,True
68,machamp,227,16,1300,fighting,"guts, no-guard, steadfast","karate-chop, mega-punch, fire-punch, ice-punch, thunder-punch","hp=90, attack=130, defense=80, special-attack=65, special-defense=85, speed=55",1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/68.png,True
69,bellsprout,60,7,40,"grass, poison","chlorophyll, gluttony","swords-dance, cut, bind, slam, vine-whip","hp=50, attack=75, defense=35, special-attack=70, special-defense=30, speed=40",1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/69.png,True
70,weepinbell,137,10,64,"grass, poison","chlorophyll, gluttony","swords-dance, cut, bind, slam, vine-whip","hp=65, attack=90, defense=50, special-attack=85, special-defense=45, speed=55",1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/70.png,True
71,victreebel,221,17,155,"grass, poison","chlorophyll, gluttony","swords-dance, cut, bind, slam, vine-whip","hp=80, attack=105, defense=65, special-attack=100, special-defense=70, speed=70",1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/71.png,True
72,tentacool,67,9,455,"water, poison","clear-body, liquid-ooze, rain-dish","swords-dance, cut, bind, headbutt, wrap","hp=40, attack=40, defense=35, special-attack=50, special-defense=100, speed=70",1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/72.png,True
73,tentacruel,180,16,550,"water, poison","clear-body, liquid-ooze, rain-dish","swords-dance, cut, bind, headbutt, wrap","hp=80, attack=70, defense=65, special-attack=80, special-defense=120, speed=100",1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/73.png,True
74,geodude,60,4,200,"rock, ground","rock-head, sturdy, sand-veil","mega-punch, fire-punch, thunder-punch, sand-attack, headbutt","hp=40, attack=80, defense=100, special-attack=30, special-defense=30, speed=20",1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/74.png,True
75,graveler,137,10,1050,"rock, ground","rock-head, sturdy, sand-veil","mega-punch, fire-punch, thunder-punch, sand-attack, headbutt","hp=55, attack=95, defense=115, special-attack=45, special-defense=45, speed=35",1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/75.png,True
76,golem,223,14,3000,"rock, ground","rock-head, sturdy, sand-veil","mega-punch, fire-punch, thunder-punch, mega-kick, sand-attack","hp=80, attack=120, defense=130, special-attack=55, special-defense=65, speed=45",1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/76.png,True
77,ponyta,82,10,300,fire,"run-away, flash-fire, flame-body","stomp, double-kick, headbutt, horn-drill, tackle","hp=50, attack=85, defense=55, special-attack=65, special-defense=65, speed=90",1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/77.png,True
78,rapidash,175,17,950,fire,"run-away, flash-fire, flame-body","pay-day, swords-dance, stomp, double-kick, headbutt","hp=65, attack=100, defense=70, special-attack=80, special-defense=80, speed=105",1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/78.png,True
79,slowpoke,63,12,360,"water, psychic","oblivious, own-tempo, regenerator","pay-day, stomp, headbutt, tackle, body-slam","hp=90, attack=65, defense=65, special-attack=40, special-defense=40, speed=15",1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/79.png,True
80,slowbro,172,16,785,"water, psychic","oblivious, own-tempo, regenerator","mega-punch, pay-day, ice-punch, stomp, mega-kick","hp=95, attack=75, defense=110, special-attack=100, special-defense=80, speed=30",1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/80.png,True
81,magnemite,65,3,60,"electric, steel","magnet-pull, sturdy, analytic","headbutt, tackle, take-down, double-edge, supersonic","hp=25, attack=35, defense=70, special-attack=95, special-defense=55, speed=45",1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/81.png,True
82,magneton,163,10,600,"electric, steel","magnet-pull, sturdy, analytic","headbutt, tackle, take-down, double-edge, supersonic","hp=50, attack=60, defense=95, special-attack=120, special-defense=70, speed=70",1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/82.png,True
83,farfetchd,132,8,150,"normal, flying","keen-eye, inner-focus, defiant","razor-wind, swords-dance, cut, gust, whirlwind","hp=52, attack=90, defense=55, special-attack=58, special-defense=62, speed=60",1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/83.png,True
84,doduo,62,14,392,"normal, flying","run-away, early-bird, tangled-feet","swords-dance, wing-attack, whirlwind, fly, jump-kick","hp=35, attack=85, defense=45, special-attack=35, special-defense=35, speed=75",1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/84.png,True
85,dodrio,165,18,852,"normal, flying","run-away, early-bird, tangled-feet","swords-dance, wing-attack, whirlwind, fly, jump-kick","hp=60, attack=110, defense=70, special-attack=60, special-defense=60, speed=110",1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/85.png,True
86,seel,65,11,900,water,"thick-fat, hydration, ice-body","pay-day, slam, headbutt, horn-drill, body-slam","hp=65, attack=45, defense=55, special-attack=45, special-defense=70, speed=45",1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/86.png,True
87,dewgong,166,17,1200,"water, ice","thick-fat, hydration, ice-body","pay-day, headbutt, horn-drill, body-slam, take-down","hp=90, attack=70, defense=80, special-attack=70, special-defense=95, speed=70",1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/87.png,True
88,grimer,65,9,300,poison,"stench, sticky-hold, poison-touch","pound, fire-punch, ice-punch, thunder-punch, headbutt","hp=80, attack=80, defense=50, special-attack=40, special-defense=50, speed=25",1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/88.png,True
89,muk,175,12,300,poison,"stench, sticky-hold, poison-touch","pound, fire-punch, ice-punch, thunder-punch, headbutt","hp=105, attack=105, defense=75, special-attack=65, special-defense=100, speed=50",1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/89.png,True
90,shellder,61,3,40,water,"shell-armor, skill-link, overcoat","headbutt, tackle, take-down, double-edge, twineedle","hp=30, attack=65, defense=100, special-attack=45, special-defense=25, speed=40",1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/90.png,True
91,cloyster,184,15,1325,"water, ice","shell-armor, skill-link, overcoat","headbutt, tackle, body-slam, take-down, double-edge","hp=50, attack=95, defense=180, special-attack=85, special-defense=45, speed=70",1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/91.png,True
92,gastly,62,13,1,"ghost, poison",levitate,"fire-punch, ice-punch, thunder-punch, headbutt, disable","hp=30, attack=35, defense=30, special-attack=100, special-defense=35, speed=80",1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/92.png,True
93,haunter,142,16,1,"ghost, poison",levitate,"fire-punch, ice-punch, thunder-punch, headbutt, mega-drain","hp=45, attack=50, defense=45, special-attack=115, special-defense=55, speed=95",1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/93.png,True
94,gengar,225,15,405,"ghost, poison",cursed-body,"mega-punch, fire-punch, ice-punch, thunder-punch, mega-kick","hp=60, attack=65, defense=60, special-attack=130, special-defense=75, speed=110",1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/94.png,True
95,onix,77,88,2100,"rock, ground","rock-head, sturdy, weak-armor","bind, slam, headbutt, tackle, body-slam","hp=35, attack=45, defense=160, special-attack=30, special-defense=45, speed=70",1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/95.png,True
96,drowzee,66,10,324,psychic,"insomnia, forewarn, inner-focus","pound, mega-punch, fire-punch, ice-punch, thunder-punch","hp=60, attack=48, defense=45, special-attack=43, special-defense=90, speed=42",1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/96.png,True
97,hypno,169,16,756,psychic,"insomnia, forewarn, inner-focus","pound, mega-punch, fire-punch, ice-punch, thunder-punch","hp=85, attack=73, defense=70, special-attack=73, special-defense=115, speed=67",1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/97.png,True
